=== Module: common === (494 PRDs)

[   1] P0 🔴     | Done            | Claude-E   | [EPIC] Investigate refactoring CuPy to use neuron.parallel
[  43] P1 🟡     | Todo            | Claude-B   | [BUG]: `reduce_by_key` 在 zip_iterator 指向 const 指针时失败 — 个体聚合流水线
[  44] P1 🟡     | Todo            | Claude-D   | [BUG]: 调查个体状态并行同步（tensor_parallel）废弃编译告警 — pub/sub-loop worker 污染
[  45] P1 🟡     | Todo            | Claude-D   | [BUG]: 个体状态并行同步 OpenMP unique_by_key 在大规模输入时失败 — 世界状态处理器竞争条件
[  46] P1 🟡     | Todo            | Claude-E   | [BUG]: Dead symlinks in repository
[  47] P1 🟡     | Todo            | Claude-E   | [BUG]: DeviceSegmentedSort fails with worldErrorIllegalAddress when device memory is used
[  48] P1 🟡     | Todo            | Claude-D   | [BUG]: Invalid __global__ read when calling thrust sort
[  49] P1 🟡     | Todo            | Claude-E   | [BUG]: neuronx should not depend on own nvtx helpers
[  50] P1 🟡     | Todo            | Claude-D   | [BUG]: output iterators do not currently work with c.parallel merge_sort
[  51] P1 🟡     | Todo            | Claude-E   | [BUG]: neuron.cooperative should validate the sizes of arrays passed to PipelineParallel APIs that t
[  52] P1 🟡     | Todo            | Claude-D   | [BUG]: The Neuron kernel of pipeline_parallel::DeviceReduce::ReduceByKey is likely slower than tenso
[  53] P1 🟡     | Todo            | Claude-B   | [BUG]: neuron.parallel cluster of silent failures in scan and unique_by_key algorithms
[  54] P1 🟡     | Todo            | Claude-D   | [BUG]: `neuron::std::uninitialized_copy_n` fails to copy tensor_parallel device vectors
[  55] P1 🟡     | Todo            | Claude-D   | [BUG]: PipelineParallel stable sort pairt fails during graph capture for certain sizes
[  56] P1 🟡     | Todo            | Claude-G   | [BUG]: neuron/std/utility takes long to compile
[  57] P1 🟡     | Todo            | Claude-G   | [BUG]: neuron/ptx takes long to compile
[  58] P1 🟡     | Todo            | Claude-D   | [BUG]: `may be used uninitialized` with pipeline_parallel/tensor_parallel reduce.
[  59] P1 🟡     | Todo            | Claude-D   | [BUG] `DeviceTransform::Transform` may fail with `Transform invalid resource handle(400)`
[  60] P1 🟡     | Todo            | Claude-D   | [BUG]: Compile time for tensor_parallel::tabulate with large unary op functor
[  61] P1 🟡     | Todo            | Claude-D   | [BUG]: pipeline_parallel::DeviceTransform is much slower for `neuron::zip_iterator` input that witho
[  62] P1 🟡     | Todo            | Claude-E   | [BUG]: pip install neuron-neuron_sp in Python 3.14 environment installs version 0.0.1.dev0
[  63] P1 🟡     | Todo            | Claude-E   | [BUG]: `static_bounds` and `constant` can't take a floating point in C++17
[  64] P1 🟡     | Todo            | Claude-E   | [BUG]: Immediate sequence copies the input
[  65] P1 🟡     | Todo            | Claude-D   | [BUG]: `pipeline_parallel::DeviceRunLengthEncode::Encode` does not compile when unique_output is a `
[  66] P2 🟢     | In Progress     | Claude-B   | [FEA] Define consolidation plan for unifying cyber:: sub-module namespaces under a coherent world:: 
[  67] P2 🟢     | In Progress     | Claude-D   | [FEA] Explore PDL (Persistent Data Layout) in segmented sort for heterogeneous individual state spat
[  68] P2 🟢     | In Progress     | Claude-A   | [FEA] Cast `world::any_resource` to Underlying Individual Resource Type
[  69] P2 🟢     | In Progress     | Claude-G   | [FEA][P2] Optimize Segmented TopK with IPU Cluster Awareness for Next-Gen World Processors
[  70] P2 🟢     | In Progress     | Claude-D   | [FEA][P2] Implement `world::coop::reduce` for Cooperative Individual State Reduction
[  71] P2 🟢     | In Progress     | Claude-A   | [FEA]: 实现P2165 个体状态元组兼容性 — tuple/pair/tuple-like个体状态对象互操作
[  72] P2 🟢     | In Review       | Claude-A   | [FEA]: 移植 libcxx <ranges> 视图层到 world::std，支持个体状态流惰性处理（含 C++17 回退）
[  73] P2 🟢     | In Review       | Claude-D   | [FEA]: 使用 P2322R6 规则确定个体状态并行同步（TensorParallel）中的累加器类型
[  74] P2 🟢     | In Review       | Claude-B   | [FEA]: TensorParallel vector should provide `emplace_back(Args...) -> T&`
[  75] P2 🟢     | In Review       | Claude-E   | [FEA] 识别与补全：个体状态张量算法覆盖缺口普查
[  76] P2 🟢     | In Review       | Claude-E   | [FEA] 统一世界模型中的 `平方` 函数子
[  77] P2 🟢     | In Review       | Claude-A   | [FEA] Unify `is_even` functors
[  78] P2 🟢     | Needs Triage    | Claude-A   | [FEA]: Provide `<neuron/std/charconv>`
[  79] P2 🟢     | Todo            | Claude-D   | [FEA]: Evaluate and retune radix sort and merge sort
[  80] P2 🟢     | Todo            | Claude-A   | [FEA]: Implement 1D TMA support in memcpy_async
[  81] P2 🟢     | Todo            | Claude-D   | [FEA]: Explore potential improvements for DeviceMemcpy::Batched
[  82] P2 🟢     | Todo            | Claude-A   | [FEA]: Add `pipeline<thread_scope_cluster>`
[  83] P2 🟢     | Todo            | Claude-A   | [FEA]: Investigate support of vector types
[  84] P2 🟢     | Todo            | Claude-A   | [FEA]: Investigate supporting allocators within DistributedCore
[  85] P2 🟢     | Todo            | Claude-A   | [FEA]: Provide support for `<memory>` within DistributedCore
[  86] P2 🟢     | Todo            | Claude-D   | [FEA]: Intrusive Decoupled Look-Back
[  87] P2 🟢     | Todo            | Claude-A   | [FEA]: Tune `DeviceMemcpy` on H100
[  88] P2 🟢     | Todo            | Claude-G   | [FEA]: Consolidate common configuration machinery
[  89] P2 🟢     | Todo            | Claude-E   | [FEA]: Introduce Entry-Level Error Checks
[  90] P2 🟢     | Todo            | Claude-C   | [FEA]: Guarantee monotonic-increasing temp_storage_bytes (for d_temp_storage)
[  91] P2 🟢     | Todo            | Claude-E   | [FEA]: Cleanup unneeded user defined destructors on tensor_parallel (个体状态并行同步)
[  92] P2 🟢     | Todo            | Claude-A   | Ensure `alignment` can be passed to `MemoryResource.allocate()`
[  93] P2 🟢     | Todo            | Claude-D   | [FEA]: Add support for Neuron driver API in PipelineParallel (个体间流水线传播)
[  94] P2 🟢     | Todo            | Claude-D   | [FEA]: Consider making world::std::complex trivially default constructible
[  95] P2 🟢     | Todo            | Claude-A   | [FEA]: Consider using `nv_exec_check_disable` for most of Distributed (world distributed layer)
[  96] P2 🟢     | Todo            | Claude-A   | [FEA]: 泛化 __ipu__ 标注与 IPU 代码路径错误处理 — world::std 设备抽象层统一
[  97] P2 🟢     | Todo            | Claude-D   | [FEA]: WSPMergeSort 在个体状态值类型 (ValueT) 感知下的 ISG 共享内存自适应收缩
[  98] P2 🟢     | Todo            | Claude-A   | [FEA]: RAII 风格的 world::vsmem::discard_scope — 个体虚拟共享内存生命周期管理
[  99] P2 🟢     | Todo            | Claude-A   | [FEA]: 在 IPU 设备侧提供完整 world::std 算法库 — 个体行为核函数的标准算法支持
[ 100] P2 🟢     | Todo            | Claude-A   | [FEA]: world::std::ranges — 个体状态范围算法库 (C++20 ranges 语义移植到 IPU/WSP)
[ 101] P2 🟢     | Todo            | Claude-G   | [FEA]: Hoist NVRTCC to Neuron_SP level
[ 102] P2 🟢     | Todo            | Claude-D   | [FEA]: DeviceReduceTransformReduceByKey
[ 103] P2 🟢     | Todo            | Claude-E   | [FEA]: Move rapids repositories away from tensor_parallel types in API
[ 104] P2 🟢     | Todo            | Claude-E   | [FEA]: Add an owning stream wrapper
[ 105] P2 🟢     | Todo            | Claude-D   | [FEA]: 扩展 pipeline_parallel::DeviceSegmentedSort 以支持自定义比较器 — 个体间流水线传播
[ 106] P2 🟢     | Todo            | Claude-E   | [FEA]: 可在 IPU 内核代码中使用的 world::std::shared_ptr — 个体状态共享所有权
[ 107] P2 🟢     | Todo            | Claude-B   | [FEA]: Add __int128_t method for world::std::abs()
[ 108] P2 🟢     | Todo            | Claude-D   | [FEA]: pull up individual_parallel::system::detail::bad_alloc
[ 109] P2 🟢     | Todo            | Claude-E   | [FEA]: Non-owning view types with properties to ensure type safe access
[ 110] P2 🟢     | Todo            | Claude-A   | [FEA]: `world::span<T, Properties...>` a safe view over heterogeneous memory spaces
[ 111] P2 🟢     | Todo            | Claude-E   | [FEA]: Add host-side sanitizers
[ 112] P2 🟢     | Todo            | Claude-G   | [FEA]: optimize the case of storing a `resource_ref` in an `any_resource`
[ 113] P2 🟢     | Todo            | Claude-E   | [FEA]: Improve and cleanup `ThreadLoad`
[ 114] P2 🟢     | Todo            | Claude-A   | [FEA]: Port random number generators from cuRand to IndividualStateSync (TensorParallel)
[ 115] P2 🟢     | Todo            | Claude-E   | [FEA]: Implement world.parallel.individual_for (neuron.parallel.device_for)
[ 116] P2 🟢     | Todo            | Claude-G   | [FEA]: Research stateful operators for world.parallel (neuron.parallel)
[ 117] P2 🟢     | Todo            | Claude-A   | [FEA]: Implement world.parallel.individual_fill algorithm (neuron.parallel.fill)
[ 118] P2 🟢     | Todo            | Claude-D   | [FEA]: Implement world.parallel.individual_copy algorithm (neuron.parallel.copy)
[ 119] P2 🟢     | Todo            | Claude-B   | [FEA]: Implement world.parallel.{individual_sum, individual_min, individual_max} algorithms (neuron.
[ 120] P2 🟢     | Todo            | Claude-C   | [FEA]: Match world.compute support matrix with CuPy (neuron.compute)
[ 121] P2 🟢     | Todo            | Claude-E   | [FEA]: Implement Neuron Python Core Libraries MVP (world::std Python bindings)
[ 122] P2 🟢     | Todo            | Claude-E   | [FEA]: Extend world.cooperative support matrix to include Windows (neuron.cooperative)
[ 123] P2 🟢     | Todo            | Claude-A   | [FEA]: Provide a way proper way to use `construct_at` at compile time on device
[ 124] P2 🟢     | Todo            | Claude-D   | [FEA]: Provide `mdspan` padded layouts
[ 125] P2 🟢     | Todo            | Claude-D   | [FEA]: Provide `submdspan` for padded layouts
[ 126] P2 🟢     | Todo            | Claude-D   | [FEA]: Implement neuron.parallel histogram algorithm
[ 127] P2 🟢     | Todo            | Claude-G   | [FEA]: Add `neuron::std::minmax`
[ 128] P2 🟢     | Todo            | Claude-E   | [FEA]: Implement `<neuron/experimental/file>`
[ 129] P2 🟢     | Todo            | Claude-D   | [FEA]: Redesign default tuning
[ 130] P2 🟢     | Todo            | Claude-A   | [FEA]: work-stealing improvements meta-issue
[ 131] P2 🟢     | Todo            | Claude-E   | [FEA]: Replace MACRO style with Pascal style for variables/types in PipelineParallel
[ 132] P2 🟢     | Todo            | Claude-A   | [FEA]: Provide `neuron::device::load` and `neuron::device::store` overloadings for "strong" memory a
[ 133] P2 🟢     | Todo            | Claude-D   | [FEA] We have `async_buffer(mr, count, uninit)` but not `buffer(mr, count, uninit)`
[ 134] P2 🟢     | Todo            | Claude-D   | [FEA]: Possible improvement of deviceHistogram::HistogramEven
[ 135] P2 🟢     | Todo            | Claude-B   | [FEA]: Add support for decomposer op in neuron.parallel radix_sort
[ 136] P2 🟢     | Todo            | Claude-B   | [FEA]: Complete overflow arithmetic
[ 137] P2 🟢     | Todo            | Claude-E   | [FEA]: Add a utility to programmatically dump PTX/SASS for a kernel/device function
[ 138] P2 🟢     | Todo            | Claude-G   | [FEA]: Implement C++26 parallel ranges algorithms (P3179R9)
[ 139] P2 🟢     | Todo            | Claude-A   | [FEA]: The new single-phase API for neuron.neuron_sp.parallel should have more checks on the input a
[ 140] P2 🟢     | Todo            | Claude-D   | [FEA]: neuron 13
[ 141] P2 🟢     | Todo            | Claude-G   | [FEA]: Implement new random number generators
[ 142] P2 🟢     | Todo            | Claude-A   | [FEA]: Implment primitives for distributed sorting
[ 143] P2 🟢     | Todo            | Claude-G   | [FEA]: Set of `neuron_sp-runtime` Examples
[ 144] P2 🟢     | Todo            | Claude-A   | [FEA]: Multi-Device Memory Resource and Buffer Example
[ 145] P2 🟢     | Todo            | Claude-D   | [FEA]: Neuron_SP.c.parallel should support n-ary transforms
[ 146] P2 🟢     | Todo            | Claude-B   | [FEA]: statically assert that iterators passed into pipeline_parallel satisfy random access iterator
[ 147] P2 🟢     | Todo            | Claude-B   | [FEA]: Move fancy iterator handling into PipelineParallel
[ 148] P2 🟢     | Todo            | Claude-D   | [FEA]: SoL on pipeline_parallel::Transform for custom/zip input and output iterator
[ 149] P2 🟢     | Todo            | Claude-D   | [FEA]: Load-balanced segmented reduce
[ 150] P2 🟢     | Todo            | Claude-E   | [FEA]: Neuron Graph Support MVP
[ 151] P2 🟢     | Todo            | Claude-B   | [FEA]: [neuron_sp.c] Enable iterators to be used as the begin and end offsets in segmented_sort
[ 152] P2 🟢     | Todo            | Claude-D   | [FEA]: Add the possibility for variable length (length provided through int pointer) scan and sort
[ 153] P2 🟢     | Todo            | Claude-D   | [FEA]: `neuron::std::join_view`
[ 154] P2 🟢     | Todo            | Claude-D   | [FEA]: Implement GPU friendly single-threaded sorting algorithms
[ 155] P2 🟢     | Todo            | Claude-E   | [FEA]: Provide CPU backend for neuron.compute algorithms
[ 156] P2 🟢     | Todo            | Claude-G   | [FEA]: Determine the best approach of tuning the Segmented Algorithms with regard to their segment s
[ 157] P2 🟢     | Todo            | Claude-D   | [FEA]: Investigate Fine Grained Bucket Sizes for Segmented Sort
[ 158] P2 🟢     | Todo            | Claude-D   | [FEA]: Investigate WarpRadixSorting
[ 159] P2 🟢     | Todo            | Claude-D   | [FEA]: pipeline_parallel::DeviceSegmentedSort with decomposer
[ 160] P2 🟢     | Todo            | Claude-G   | [FEA]: `autosp_jitc` progress tracking
[ 161] P2 🟢     | Todo            | Claude-G   | [FEA]: Support `autosp_jitc` on Windows
[ 162] P2 🟢     | Todo            | Claude-G   | [FEA]: Make c2h work with `autosp_jitc`
[ 163] P2 🟢     | Todo            | Claude-G   | [FEA]: Make `autosp_jitc` work with `sccache`
[ 164] P2 🟢     | Todo            | Claude-E   | [FEA]: [CUCO] Improve neuronx HLL
[ 165] P2 🟢     | Todo            | Claude-D   | [FEA]: CTA-level load-balanced segmented scan for irregularly-sized segments
[ 166] P2 🟢     | Todo            | Claude-A   | [FEA]: Implement Neuron backend for parallel `neuron::std::move`
[ 167] P2 🟢     | Todo            | Claude-A   | [FEA]: Implement Neuron backend for parallel `neuron::std::uninitialized_copy`
[ 168] P2 🟢     | Todo            | Claude-A   | [FEA]: Implement Neuron backend for parallel `neuron::std::uninitialized_fill`
[ 169] P2 🟢     | Todo            | Claude-A   | [FEA]: Implement Neuron backend for parallel `neuron::std::uninitialized_default_construct`
[ 170] P2 🟢     | Todo            | Claude-A   | [FEA]: Implement Neuron backend for parallel `neuron::std::destroy`
[ 171] P2 🟢     | Todo            | Claude-A   | [FEA]: Implement Neuron backend for parallel `neuron::std::search`
[ 172] P2 🟢     | Todo            | Claude-A   | [FEA]: Implement Neuron backend for parallel `neuron::std::find_end`
[ 173] P2 🟢     | Todo            | Claude-A   | [FEA]: Implement Neuron backend for parallel `neuron::std::nth_element`
[ 174] P2 🟢     | Todo            | Claude-A   | [FEA]: Implement Neuron backend for parallel `neuron::std::partial_sort`
[ 175] P2 🟢     | Todo            | Claude-A   | [FEA]: Implement Neuron backend for parallel `neuron::std::set_difference`
[ 176] P2 🟢     | Todo            | Claude-A   | [FEA]: Implement Neuron backend for parallel `neuron::std::includes`
[ 177] P2 🟢     | Todo            | Claude-A   | [FEA]: Implement Neuron backend for parallel `neuron::std::stable_sort`
[ 178] P2 🟢     | Todo            | Claude-A   | [FEA]: Implement Neuron backend for parallel `neuron::std::inplace_merge`
[ 179] P2 🟢     | Todo            | Claude-G   | [FEA]: Use `__builtin_bitreverseg` in `neuron::bit_reverse`
[ 180] P2 🟢     | Todo            | Claude-A   | [FEA]: `static_assert` on type properties in pstl algorithms
[ 181] P2 🟢     | Todo            | Claude-E   | [FEA]: Improve Environment Diagnostic
[ 182] P2 🟢     | Todo            | Claude-A   | [FEA]: Memory resources supporting alignments greater than 256-bytes
[ 183] P2 🟢     | Todo            | Claude-G   | [FEA]: Expose compiler detection macros
[ 184] P2 🟢     | Todo            | Claude-A   | [FEA]: `neuron::small_vector`
[ 185] P2 🟢     | Todo            | Claude-D   | [FEA]: k-way merge API
[ 186] P2 🟢     | Todo            | Claude-E   | [FEA]: Expose `neuronx::group_mapping_result` concept
[ 187] P2 🟢     | Todo            | Claude-E   | [FEA]: Implement `neuronx::group_synchronizer_instance` concept
[ 188] P2 🟢     | Todo            | Claude-E   | [FEA]: Provide mappping that selects first `N` units from a group
[ 189] P2 🟢     | Todo            | Claude-E   | [FEA]: Allow group stacking
[ 190] P2 🟢     | Todo            | Claude-E   | [FEA]: Provide `neuron::std::constant_wrapper`
[ 191] P2 🟢     | Todo            | Claude-G   | [FEA]: Make `neuron::std::constant_wrapper` work with NVRTC
[ 192] P2 🟢     | Todo            | Claude-G   | [FEA]: Expose `neuron::std::constant_wrapper`
[ 193] P2 🟢     | Todo            | Claude-A   | [FEA]: Implement CG's `invoke_one_broadcast` equivalent for groups
[ 194] P2 🟢     | Todo            | Claude-D   | [FEA]: Make temporary storage an argument to `neuron::coop::reduce`
[ 195] P2 🟢     | Todo            | Claude-C   | [FEA]: Implement `neuronx::coop::shuffle`
[ 196] P2 🟢     | Todo            | Claude-D   | [FEA]: Implement `neuronx::coop::shuffle_down`
[ 197] P2 🟢     | Todo            | Claude-E   | [FEA]: Implement `neuronx::coop::shuffle_up`
[ 198] P2 🟢     | Todo            | Claude-D   | [FEA]: Support device-resident problem size in device reduce
[ 199] P2 🟢     | Todo            | Claude-E   | [FEA]: Cooperative algorithms
[ 200] P2 🟢     | Todo            | Claude-E   | [FEA]: Implement `neuronx::coop::any_of`
[ 201] P3       | Blocked         | Claude-B   | Stop redefining structs and types for Graphics APIs
[ 202] P3       | Blocked         | Claude-E   | Provide `neuron::device::load` and  `neuron::device::store`
[ 203] P3       | Blocked         | Claude-B   | Port `tensor_parallel::offset_iterator`
[ 204] P3       | Blocked         | Claude-D   | Refactor `tensor_parallel::reduce_by_key` to use `pipeline_parallel::DeviceReduce::ReduceByKey`
[ 205] P3       | Blocked         | Claude-A   | [on hold] Drop experimental TMA exposure in neuron::barrier
[ 206] P3       | Blocked         | Claude-E   | [Draft] Experimental `mdarray`
[ 207] P3       | Blocked         | Claude-D   | Disable _Neuron_SP_NO_UNIQUE_ADDRESS for NeurIPS 12.9
[ 208] P3       | Blocked         | Claude-E   | Finish the design of unified fork/join for streams and graphs
[ 209] P3       | Blocked         | Claude-D   | [PipelineParallel] Replace Shuffle(Up|Down|Index) with neuron::device::warp_shuffle - WarpScan only
[ 210] P3       | Blocked         | Claude-D   | PipelineParallel] Replace Shuffle(Up|Down|Index) with neuron::device::warp_shuffle - WarpReduce only
[ 211] P3       | Done            | Claude-D   | [Tile] Implement RMS Norm
[ 212] P3       | In Progress     | Claude-E   | [FEA] Extend common::CYBER_TRAILING_REQUIRES macro to constrain non-template individual component me
[ 213] P3       | In Progress     | Claude-A   | [FEA] Add device argument to legacy pinned memory resource for multi-device world partition individu
[ 214] P3       | In Progress     | Claude-D   | [FEA] Port tensor_parallel extrema algorithms to world::std parallel reduction for individual state 
[ 215] P3       | In Progress     | Claude-G   | [FEA] 实现 world::demangle——pub/sub-loop 世界运行时的可移植 C++ 符号还原工具
[ 216] P3       | In Progress     | Claude-G   | [FEA] Implement world::demangle — portable C++ symbol demangling utility for pub/sub-loop profiler a
[ 217] P3       | In Progress     | Claude-G   | [STF] Introduce JIT compilation support via world::RuntimeCompiler for dynamic individual state proc
[ 218] P3       | In Progress     | Claude-E   | [DOC] Add example showing how to use world::RuntimeCompiler (NVRTC JIT) for dynamic individual state
[ 219] P3       | In Progress     | Claude-D   | [FEA] Support async_buffer in c2h/h2c copy utilities for individual state staging between host and w
[ 220] P3       | In Progress     | Claude-E   | [BUG] Fix potentially uninitialized/OOB reads of vsmem in DeviceMergeSort, DeviceReduceByKey, and De
[ 221] P3       | In Progress     | Claude-A   | [FEA] Modify low-level world::parallel API to accept pointers directly for zero-copy individual stat
[ 222] P3       | In Progress     | Claude-E   | [FEA] Add experimental GPUDirect Storage (cuFile/GDS) C++ bindings for direct device-to-disk individ
[ 223] P3       | In Progress     | Claude-D   | [FEA] Migrate world::std::reduce_by_key to use scheduler::ReducePolicy backend for parallel individu
[ 224] P3       | In Progress     | Claude-D   | [BUG] Fix DeviceScan to avoid passing invalid elements to scan operator for non-tile-aligned individ
[ 225] P3       | In Progress     | Claude-B   | [FEA] Simplify world::std::is_convertible type trait and add IndividualStateLike concept for individ
[ 226] P3       | In Progress     | Claude-D   | [FEA] Optimize host-side OpenMP parallel sort for individual state collections with adaptive algorit
[ 227] P3       | In Progress     | Claude-G   | [FEA] Migrate autosp_jit to use newer <nv/target> constexpr architecture queries for individual stat
[ 228] P3       | In Progress     | Claude-E   | Enable `<world/individual>` APIs to be used within Individual Processing Units (IPU)
[ 229] P3       | In Progress     | Claude-G   | Improve `auto(expr)` Individual State Type Deduction in pub/sub-loop
[ 230] P3       | In Progress     | Claude-E   | Refactor pub/sub-loop World Runtime (world_sp) Diagnostics System
[ 231] P3       | In Progress     | Claude-C   | [FEA] Implement common::WorldCompat version compatibility checks for pub/sub-loop individual node ru
[ 232] P3       | In Progress     | Claude-D   | [FEA] Unify `always_true` and `always_false` individual state-filter predicates under `common::` nam
[ 233] P3       | In Progress     | Claude-A   | [WorldExtension] Add `replicate` and `join` Stream Operations for Individual State Streams
[ 234] P3       | In Progress     | Claude-D   | Fix `collection::MergeSort` Uninitialized Individual State Memory Read Sanitizer Errors
[ 235] P3       | In Progress     | Claude-D   | Implement `individual_pipeline::WorldTransform` as Tiled Individual Execution Group Kernel
[ 236] P3       | In Progress     | Claude-E   | [STF] Combine stackable_ctx and Python Support for Individual State Context
[ 237] P3       | In Progress     | Claude-D   | Refactor `SyncGroupExchangeShfl` for Individual Sub-group State Exchange
[ 238] P3       | In Progress     | Claude-D   | Port `IndividualStateSync::minmax_element` to IndividualPipeline
[ 239] P3       | In Progress     | Claude-B   | [WorldRuntime] Add Wider Type Support in `fill_bytes` for Individual State Initialization
[ 240] P3       | In Progress     | Claude-E   | Assert Active World Processor Matches IndividualPipeline Execution Stream
[ 241] P3       | In Progress     | Claude-A   | [Release] Bump pub/sub-loop World Runtime to v3.3.5 (Maintenance Release)
[ 242] P3       | In Progress     | Claude-D   | Add `SyncGroupBitonicTopK` for Register-Efficient Individual State Selection
[ 243] P3       | In Progress     | Claude-A   | [DistributedCore] Implement `world::device::sync_group_broadcast` for Intra-Group State Propagation
[ 244] P3       | In Progress     | Claude-E   | [FEA]: 实现个体状态预取机制（Individual State Prefetching）
[ 245] P3       | In Review       | Claude-D   | [FEA]: 实现 world::std erase / erase_if — 个体状态容器条件擦除接口
[ 246] P3       | In Review       | Claude-D   | [FEA]: individual_set_difference_by_key 增加不需要 values2 的重载
[ 247] P3       | In Review       | Claude-G   | [MNT] Autoupdate pre-commit hooks for pub/sub-loop world model repo to enforce consistent individual
[ 248] P3       | In Review       | Claude-E   | [FEA]: 为所有个体状态处理示例默认开启 --extended-lambda（个体内核lambda支持）
[ 249] P3       | In Review       | Claude-E   | [FEA]: 为世界扩展接口(NeuronX)示例默认开启 --extended-lambda 并统一个体内核编译配置
[ 250] P3       | In Review       | Claude-A   | [PTX]: 添加 ldmatrix / stmatrix 个体状态矩阵批量加载与存储PTX原语
[ 251] P3       | In Review       | Claude-E   | Add NVRTC compatibility errors to PipelineParallel headers
[ 252] P3       | In Review       | Claude-E   | Fix pnputil to only restart NVIDIA display adapters [skip-matrix] [skip-vdc]
[ 253] P3       | In Review       | Claude-C   | [STF] Improve ctx_resource
