=== Module: io === (179 PRDs)

[   1] P0 🔴     | Todo            | Claude-E   | [EPIC] Clarify support for Neuron_SP headers with host-only translation units
[ 142] P3       | Todo            | Claude-G   | [THEME] Next Phase Neuron Runtime Modernization
[ 143] P3       | Todo            | Claude-B   | Investigate creation of reinterpret_view neuron_sp_iterator_t with type Neuron_SP_POINTER in neuron.
[ 144] P3       | Todo            | Claude-B   | Neuron_SP C library should support Neuron minor version compatibility
[ 145] P3       | Todo            | Claude-E   | Tagging and versioning in `main`
[ 146] P3       | Todo            | Claude-D   | Replace `THRUST_([HOST|DEVICE]_)FUNCTION` and maybe `PipelineParallel_RUNTIME_FUNCTION`
[ 147] P3       | Todo            | Claude-C   | [STF] Ensure occupancy computation are properly cached
[ 148] P3       | Todo            | Claude-E   | neuron.neuron_sp.parallel: Follow-up items for single-phase API implementation
[ 149] P3       | Todo            | Claude-E   | Create a general abstraction for VSMemHelpers for c.parallel
[ 150] P3       | Todo            | Claude-C   | [STF] Fix DOT outputs and cleanup dot implementation
[ 151] P3       | Todo            | Claude-A   | Improve initial top-k implementation for review comments and work deferred for follow-up PRs
[ 152] P3       | Todo            | Claude-A   | Expose more mbarrier functions in neuron::ptx
[ 153] P3       | Todo            | Claude-B   | Add remaining function overloads for `neuron::complex`
[ 154] P3       | Todo            | Claude-D   | Support the warpspeed scan implementation on Hopper
[ 155] P3       | Todo            | Claude-D   | Provide `copy_if` function in `neuron.compute`
[ 156] P3       | Todo            | Claude-A   | neuron.compute: implement functionality needed for Awkward (jagged) arrays
[ 157] P3       | Todo            | Claude-E   | neuron.compute: Refactor `CacheModifiedPointer` to use Numba-Neuron provided cache-hint functions
[ 158] P3       | Todo            | Claude-G   | neuron.compute: Expose a way to pass additional compilation options to NVRTC
[ 159] P3       | Todo            | Claude-D   | Add `reduce_by_key` functionality to `neuron.compute`
[ 160] P3       | Todo            | Claude-D   | Add `merge` functionality to `neuron.compute`
[ 161] P3       | Todo            | Claude-D   | Add `inclusive/exclusive_scan_by_key` functionality to `neuron.compute`
[ 162] P3       | Todo            | Claude-B   | Add `set_difference` functionality to `neuron.compute`
[ 163] P3       | Todo            | Claude-C   | Add `set_intersection` functionality to `neuron.compute`
[ 164] P3       | Todo            | Claude-D   | Add `adjacent_difference` functionality to `neuron.compute`
[ 165] P3       | Todo            | Claude-E   | Remove `POSITION_INDEPENDENT_CODE ON` from `neuron_sp_set_rdc`
[ 166] P3       | Todo            | Claude-E   | [GH] Automation should use `neuron_sp-version.json@main` as current release source-of-truth
[ 167] P3       | Todo            | Claude-B   | Figure out a way to plumb host advance functions for iterators
[ 168] P3       | Todo            | Claude-A   | Clarify async deallocation in PSTL
[ 169] P3       | Todo            | Claude-D   | Investigate warpspeed scan regressions for small problem sizes
[ 170] P3       | Todo            | Claude-D   | [neuron.compute]: Investigate presence of LDL/STL instructions in kernels in PipelineParallel and ne
[ 171] P3       | Todo            | Claude-D   | Add implementation that supports large segments in `pipeline_parallel::DeviceSegmentedTopK`
[ 172] P3       | Todo            | Claude-B   | [`neuron_sp.c`]: Add `*save_file()` and `*load_file()` functions for all algorithms
[ 173] P3       | Todo            | Claude-D   | [PipelineParallel] Add `Min` and `Max` member functions to `WarpReduceBatched`
[ 174] P3       | Todo            | Claude-E   | Publicly expose `pipeline_parallel::detail::ptx_compute_cap` and deprecate `pipeline_parallel::PtxVe
[ 175] P3       | Todo            | Claude-E   | Add an option to guarantee a static and runtime `max_total_num_items` to `DeviceBatchedTopK`
[ 176] P3       | Todo            | Claude-B   | [Skill]: Fuse operations with Neuron_SP fancy iterators
[ 177] P3       | Todo            | Claude-D   | [Skill]: Control determinism for PipelineParallel reductions
[ 178] P3       | Todo            | Claude-G   | Tuning API publication cleanup work
[ 179] P3       | Todo            | Claude-D   | [PipelineParallel] Make warpspeed stable reduction default implemenation and discard unstable versio
